match_number,round,group_letter,home_team,away_team,home_slot,away_slot,stadium,scheduled_datetime,home_score,away_score,status
1,group_stage,A,Mexico,South Africa,,,Mexico City Stadium,2026-06-11 15:00:00,,,scheduled
2,group_stage,A,South Korea,TBD - A,,,Guadlajara Stadium,2026-06-11 22:00:00,,,scheduled
3,group_stage,B,Canada,TBD - B,,,Toronto Stadium,2026-06-12 15:00:00,,,scheduled
4,group_stage,D,USA,Paraguay,,,Los Angeles Stadium,2026-06-12 21:00:00,,,scheduled
5,group_stage,B,Qatar,Switzerland,,,San Francisco Stadium,2026-06-13 15:00:00,,,scheduled
6,group_stage,C,Brazil,Morocco,,,New York Stadium,2026-06-13 18:00:00,,,scheduled
7,group_stage,C,Haiti,Scotland,,,Boston Stadium,2026-06-13 21:00:00,,,scheduled
8,group_stage,D,Australia,TBD - D,,,BC Place Vancouver,2026-06-14 00:00:00,,,scheduled
9,group_stage,E,Germany,Curaçao,,,Houston Stadium,2026-06-14 13:00:00,,,scheduled
10,group_stage,F,Netherlands,Japan,,,Dallas Stadium,2026-06-14 16:00:00,,,scheduled
11,group_stage,E,Ivory Coast,Ecuador,,,Philadelphia Stadium,2026-06-14 19:00:00,,,scheduled
12,group_stage,F,TBD - F,Tunisia,,,Monterrey Stadium,2026-06-14 22:00:00,,,scheduled
13,group_stage,H,Spain,Cape Verde Islands,,,Atlanta Stadium,2026-06-15 12:00:00,,,scheduled
14,group_stage,G,Belgium,Egypt,,,Seattle Stadium,2026-06-15 15:00:00,,,scheduled
15,group_stage,H,Saudi Arabia,Uruguay,,,Miami Stadium,2026-06-15 18:00:00,,,scheduled
16,group_stage,G,Iran,New Zealand,,,Los Angeles Stadium,2026-06-15 21:00:00,,,scheduled
17,group_stage,I,France,Senegal,,,New York Stadium,2026-06-16 15:00:00,,,scheduled
18,group_stage,I,TBD - I,Norway,,,Boston Stadium,2026-06-16 18:00:00,,,scheduled
19,group_stage,J,Argentina,Algeria,,,Kansas City Stadium,2026-06-16 21:00:00,,,scheduled
20,group_stage,J,Austria,Jordan,,,San Francisco Stadium,2026-06-17 00:00:00,,,scheduled
21,group_stage,K,Portugal,TBD - K,,,Houston Stadium,2026-06-17 13:00:00,,,scheduled
22,group_stage,L,England,Croatia,,,Dallas Stadium,2026-06-17 16:00:00,,,scheduled
23,group_stage,L,Ghana,Panama,,,Toronto Stadium,2026-06-17 19:00:00,,,scheduled
24,group_stage,K,Uzbekistan,Colombia,,,Mexico City Stadium,2026-06-17 22:00:00,,,scheduled
25,group_stage,A,TBD - A,South Africa,,,Atlanta Stadium,2026-06-18 12:00:00,,,scheduled
26,group_stage,B,Switzerland,TBD - B,,,Los Angeles Stadium,2026-06-18 15:00:00,,,scheduled
27,group_stage,B,Canada,Qatar,,,BC Place Vancouver,2026-06-18 18:00:00,,,scheduled
28,group_stage,A,Mexico,South Korea,,,Guadlajara Stadium,2026-06-18 21:00:00,,,scheduled
29,group_stage,D,USA,Australia,,,Seattle Stadium,2026-06-19 15:00:00,,,scheduled
30,group_stage,C,Scotland,Morocco,,,Boston Stadium,2026-06-19 18:00:00,,,scheduled
31,group_stage,C,Brazil,Haiti,,,Philadelphia Stadium,2026-06-19 21:00:00,,,scheduled
32,group_stage,D,TBD - D,Paraguay,,,San Francisco Stadium,2026-06-20 00:00:00,,,scheduled
33,group_stage,F,Netherlands,TBD - F,,,Houston Stadium,2026-06-20 13:00:00,,,scheduled
34,group_stage,E,Germany,Ivory Coast,,,Toronto Stadium,2026-06-20 16:00:00,,,scheduled
35,group_stage,E,Ecuador,Curaçao,,,Kansas City Stadium,2026-06-20 20:00:00,,,scheduled
36,group_stage,F,Tunisia,Japan,,,Monterrey Stadium,2026-06-21 00:00:00,,,scheduled
37,group_stage,H,Spain,Saudi Arabia,,,Atlanta Stadium,2026-06-21 15:00:00,,,scheduled
38,group_stage,G,Belgium,Iran,,,Los Angeles Stadium,2026-06-21 18:00:00,,,scheduled
39,group_stage,H,Uruguay,Cape Verde Islands,,,Miami Stadium,2026-06-21 21:00:00,,,scheduled
40,group_stage,G,New Zealand,Egypt,,,BC Place Vancouver,2026-06-21 21:00:00,,,scheduled
41,group_stage,J,Argentina,Austria,,,Dallas Stadium,2026-06-22 13:00:00,,,scheduled
42,group_stage,I,France,TBD - I,,,Philadelphia Stadium,2026-06-22 17:00:00,,,scheduled
43,group_stage,I,Norway,Senegal,,,New York Stadium,2026-06-22 20:00:00,,,scheduled
44,group_stage,J,Jordan,Algeria,,,San Francisco Stadium,2026-06-22 23:00:00,,,scheduled
45,group_stage,K,Portugal,Uzbekistan,,,Houston Stadium,2026-06-23 13:00:00,,,scheduled
46,group_stage,L,England,Ghana,,,Boston Stadium,2026-06-23 16:00:00,,,scheduled
47,group_stage,L,Panama,Croatia,,,Toronto Stadium,2026-06-23 19:00:00,,,scheduled
48,group_stage,K,Colombia,TBD - K,,,Guadlajara Stadium,2026-06-23 22:00:00,,,scheduled
49,group_stage,B,Switzerland,Canada,,,BC Place Vancouver,2026-06-24 15:00:00,,,scheduled
