,end_period_ts,end_period_utc,end_period_local,open_interest,volume,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,mid_cents,spread_cents,price_open_dollars,price_high_dollars,price_low_dollars,price_close_dollars,price_mean_dollars,price_previous_dollars,yes_bid_open_dollars,yes_bid_high_dollars,yes_bid_low_dollars,yes_bid_close_dollars,yes_ask_open_dollars,yes_ask_high_dollars,yes_ask_low_dollars,yes_ask_close_dollars,mid_dollars,spread_dollars,yes_sub_title,event_title,ticker,series_ticker
0,1747368000,2025-05-16 04:00:00+00:00,2025-05-16 00:00:00,35,35,19.0,33.0,19.0,33.0,26.0,,0,11,0,7,99,99,14,32,19.5,25.0,0.19,0.33,0.19,0.33,0.26,,0.0,0.11,0.0,0.07,0.99,0.99,0.14,0.32,0.195,0.25,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
1,1747454400,2025-05-17 04:00:00+00:00,2025-05-17 00:00:00,35,0,,,,,,33.0,7,11,6,11,32,33,14,14,12.5,3.0,,,,,,0.33,0.07,0.11,0.06,0.11,0.32,0.33,0.14,0.14,0.125,0.03,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
2,1747540800,2025-05-18 04:00:00+00:00,2025-05-18 00:00:00,140,105,14.0,14.0,14.0,14.0,14.0,33.0,11,11,10,11,14,14,14,14,12.5,3.0,0.14,0.14,0.14,0.14,0.14,0.33,0.11,0.11,0.1,0.11,0.14,0.14,0.14,0.14,0.125,0.03,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
3,1747627200,2025-05-19 04:00:00+00:00,2025-05-19 00:00:00,140,0,,,,,,14.0,11,11,11,11,14,14,13,13,12.0,2.0,,,,,,0.14,0.11,0.11,0.11,0.11,0.14,0.14,0.13,0.13,0.12,0.02,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
4,1747713600,2025-05-20 04:00:00+00:00,2025-05-20 00:00:00,1356,1216,13.0,14.0,13.0,14.0,13.0,14.0,11,13,11,13,13,14,13,14,13.5,1.0,0.13,0.14,0.13,0.14,0.13,0.14,0.11,0.13,0.11,0.13,0.13,0.14,0.13,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
5,1747800000,2025-05-21 04:00:00+00:00,2025-05-21 00:00:00,1357,1,14.0,14.0,14.0,14.0,14.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
6,1747886400,2025-05-22 04:00:00+00:00,2025-05-22 00:00:00,2559,1202,14.0,14.0,14.0,14.0,14.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
7,1747972800,2025-05-23 04:00:00+00:00,2025-05-23 00:00:00,3336,777,14.0,14.0,14.0,14.0,14.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
8,1748059200,2025-05-24 04:00:00+00:00,2025-05-24 00:00:00,3456,120,14.0,14.0,14.0,14.0,14.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
9,1748145600,2025-05-25 04:00:00+00:00,2025-05-25 00:00:00,3456,5,13.0,13.0,13.0,13.0,13.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
10,1748232000,2025-05-26 04:00:00+00:00,2025-05-26 00:00:00,3500,44,14.0,14.0,14.0,14.0,14.0,13.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
11,1748318400,2025-05-27 04:00:00+00:00,2025-05-27 00:00:00,3500,0,,,,,,14.0,13,13,13,13,14,14,14,14,13.5,1.0,,,,,,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
12,1748404800,2025-05-28 04:00:00+00:00,2025-05-28 00:00:00,3500,0,,,,,,14.0,13,13,13,13,14,14,14,14,13.5,1.0,,,,,,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
13,1748491200,2025-05-29 04:00:00+00:00,2025-05-29 00:00:00,3500,0,,,,,,14.0,13,13,13,13,14,14,14,14,13.5,1.0,,,,,,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
14,1748577600,2025-05-30 04:00:00+00:00,2025-05-30 00:00:00,3567,67,14.0,14.0,14.0,14.0,14.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
15,1748664000,2025-05-31 04:00:00+00:00,2025-05-31 00:00:00,3567,0,,,,,,14.0,13,13,13,13,14,14,14,14,13.5,1.0,,,,,,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
16,1748750400,2025-06-01 04:00:00+00:00,2025-06-01 00:00:00,3707,140,14.0,14.0,14.0,14.0,14.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
17,1748836800,2025-06-02 04:00:00+00:00,2025-06-02 00:00:00,4009,302,14.0,14.0,14.0,14.0,14.0,14.0,13,13,13,13,14,14,14,14,13.5,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.135,0.01,France,2026 Men's World Cup winner?,KXMENWORLDCUP-26-FR,KXMENWORLDCUP
