match_number,round,group,date,team1_code,team1_name,team2_code,team2_name,actual_team1_score,actual_team2_score,is_finished,stadium,time,datetime
1,Group Stage - Group A,A,6/11/2026,MEX,Mexico,ZAF,South Africa,0,0,FALSE,Mexico City Stadium,15:00,6/11/2026 15:00
2,Group Stage - Group A,A,6/11/2026,KOR,South Korea,TBD,DEN/MKD/CZE/IRL,0,0,FALSE,Guadlajara Stadium,22:00,6/11/2026 22:00
3,Group Stage - Group B,B,6/12/2026,CAN,Canada,TBD,ITA/NIR/WAL/BIH,0,0,FALSE,Toronto Stadium,15:00,6/12/2026 15:00
4,Group Stage - Group D,D,6/12/2026,USA,USA,PRY,Paraguay,0,0,FALSE,Los Angeles Stadium,21:00,6/12/2026 21:00
5,Group Stage - Group B,B,6/13/2026,QAT,Qatar,CHE,Switzerland,0,0,FALSE,San Francisco Stadium,15:00,6/13/2026 15:00
6,Group Stage - Group C,C,6/13/2026,BRA,Brazil,MAR,Morocco,0,0,FALSE,New York Stadium,18:00,6/13/2026 18:00
7,Group Stage - Group C,C,6/13/2026,HTI,Haiti,GBR,Scotland,0,0,FALSE,Boston Stadium,21:00,6/13/2026 21:00
8,Group Stage - Group D,D,6/14/2026,AUS,Australia,TBD,TUR/ROU/SVK/KOS,0,0,FALSE,BC Place Vancouver,0:00,6/14/2026 0:00
9,Group Stage - Group E,E,6/14/2026,DEU,Germany,CUW,Curaçao,0,0,FALSE,Houston Stadium,13:00,6/14/2026 13:00
10,Group Stage - Group F,F,6/14/2026,NLD,Netherlands,JPN,Japan,0,0,FALSE,Dallas Stadium,16:00,6/14/2026 16:00
11,Group Stage - Group E,E,6/14/2026,CIV,Ivory Coast,ECU,Ecuador,0,0,FALSE,Philadelphia Stadium,19:00,6/14/2026 19:00
12,Group Stage - Group F,F,6/14/2026,TBD,TUR/ROU/SVK/KOS,TUN,Tunisia,0,0,FALSE,Monterrey Stadium,22:00,6/14/2026 22:00
13,Group Stage - Group H,H,6/15/2026,ESP,Spain,CPV,Cape Verde Islands,0,0,FALSE,Atlanta Stadium,12:00,6/15/2026 12:00
14,Group Stage - Group G,G,6/15/2026,BEL,Belgium,EGY,Egypt,0,0,FALSE,Seattle Stadium,15:00,6/15/2026 15:00
15,Group Stage - Group H,H,6/15/2026,SAU,Saudi Arabia,URY,Uruguay,0,0,FALSE,Miami Stadium,18:00,6/15/2026 18:00
16,Group Stage - Group G,G,6/15/2026,IRN,Iran,NZL,New Zealand,0,0,FALSE,Los Angeles Stadium,21:00,6/15/2026 21:00
