date,time,matchday,home_team,away_team,stadium,status,result
2026-06-11,19:00,1,Mexico,South Africa,Estadio Azteca,To be played,
2026-06-13,01:00,1,USA,Paraguay,SoFi Stadium,To be played,
2026-06-13,19:00,1,Qatar,Switzerland,,To be played,
2026-06-13,22:00,1,Brazil,Morocco,MetLife Stadium,To be played,
2026-06-14,01:00,1,Haiti,Scotland,Gillette Stadium,To be played,
2026-06-14,17:00,1,Germany,Curaçao,NRG Stadium,To be played,
2026-06-14,20:00,1,Netherlands,Japan,,To be played,
2026-06-14,23:00,1,Ivory Coast,Ecuador,Lincoln Financial Field,To be played,
2026-06-15,16:00,1,Spain,Cape Verde Islands,Mercedes-Benz Stadium,To be played,
2026-06-15,19:00,1,Belgium,Egypt,Lumen Field,To be played,
2026-06-15,22:00,1,Saudi Arabia,Uruguay,Hard Rock Stadium,To be played,
2026-06-16,01:00,1,Iran,New Zealand,SoFi Stadium,To be played,
2026-06-16,19:00,1,France,Senegal,MetLife Stadium,To be played,
2026-06-17,01:00,1,Argentina,Algeria,Arrowhead Stadium,To be played,
2026-06-17,04:00,1,Austria,Jordan,,To be played,
2026-06-17,20:00,1,England,Croatia,,To be played,
2026-06-17,23:00,1,Ghana,Panama,BMO Field,To be played,
2026-06-18,02:00,1,Uzbekistan,Colombia,Estadio Azteca,To be played,
2026-06-18,22:00,2,Canada,Qatar,BC Place,To be played,
2026-06-19,01:00,2,Mexico,South Korea,Estadio Akron,To be played,
2026-06-19,19:00,2,USA,Australia,Lumen Field,To be played,
2026-06-19,22:00,2,Scotland,Morocco,Gillette Stadium,To be played,
2026-06-20,01:00,2,Brazil,Haiti,Lincoln Financial Field,To be played,
2026-06-20,20:00,2,Germany,Ivory Coast,BMO Field,To be played,
2026-06-21,00:00,2,Ecuador,Curaçao,Arrowhead Stadium,To be played,
2026-06-21,04:00,2,Tunisia,Japan,Estadio BBVA Bancomer,To be played,
2026-06-21,16:00,2,Spain,Saudi Arabia,Mercedes-Benz Stadium,To be played,
2026-06-21,19:00,2,Belgium,Iran,SoFi Stadium,To be played,
2026-06-21,22:00,2,Uruguay,Cape Verde Islands,Hard Rock Stadium,To be played,
2026-06-22,01:00,2,New Zealand,Egypt,BC Place,To be played,
2026-06-22,17:00,2,Argentina,Austria,,To be played,
2026-06-23,00:00,2,Norway,Senegal,MetLife Stadium,To be played,
2026-06-23,03:00,2,Jordan,Algeria,,To be played,
2026-06-23,17:00,2,Portugal,Uzbekistan,NRG Stadium,To be played,
2026-06-23,20:00,2,England,Ghana,Gillette Stadium,To be played,
2026-06-23,23:00,2,Panama,Croatia,BMO Field,To be played,
2026-06-24,19:00,3,Switzerland,Canada,BC Place,To be played,
2026-06-24,22:00,3,Morocco,Haiti,Mercedes-Benz Stadium,To be played,
2026-06-24,22:00,3,Scotland,Brazil,Hard Rock Stadium,To be played,
2026-06-25,01:00,3,South Africa,South Korea,Estadio BBVA Bancomer,To be played,
2026-06-25,20:00,3,Curaçao,Ivory Coast,Lincoln Financial Field,To be played,
2026-06-25,20:00,3,Ecuador,Germany,MetLife Stadium,To be played,
2026-06-25,23:00,3,Tunisia,Netherlands,Arrowhead Stadium,To be played,
2026-06-26,02:00,3,Paraguay,Australia,,To be played,
2026-06-26,19:00,3,Norway,France,Gillette Stadium,To be played,
2026-06-27,00:00,3,Cape Verde Islands,Saudi Arabia,NRG Stadium,To be played,
2026-06-27,00:00,3,Uruguay,Spain,Estadio Akron,To be played,
2026-06-27,03:00,3,Egypt,Iran,Lumen Field,To be played,
2026-06-27,03:00,3,New Zealand,Belgium,BC Place,To be played,
2026-06-27,21:00,3,Croatia,Ghana,Lincoln Financial Field,To be played,
2026-06-27,21:00,3,Panama,England,MetLife Stadium,To be played,
2026-06-27,23:30,3,Colombia,Portugal,Hard Rock Stadium,To be played,
2026-06-28,02:00,3,Algeria,Austria,Arrowhead Stadium,To be played,
2026-06-28,02:00,3,Jordan,Argentina,,To be played,
